generic_name,cases
aceclofenac,"osteoarthritis, rheumatoid arthritis"
curcuminoids [curcuma longa],rheumatoid arthritis
"fishar [snake root, potassium, magnesium]",hypertension
amlodipine besilate,essential hypertension
jogaraj guggulu,rheumatoid arthritis
artemether,malaria
avanafil,erectile dysfunction
atenolol + chlorthalidone,hypertension
prasarani sandhan,rheumatoid arthritis
beclometasone dipropionate + formoterol fumarate,asthma
azithromycin dihydrate (ophthalmic),bacterial conjunctivitis
yohimbine hydrochloride,erectile dysfunction
valerian root,insomnia
bisacodyl,constipation
betamethasone + clotrimazole + gentamicin,corticosteroid
brinzolamide + timolol,monotherapy
bisoprolol fumarate + hydrochlorothiazide,hypertension
nux-vomica + black pepper + long pepper,rheumatoid arthritis
habb-e-nishat,erectile dysfunction
candesartan cilexetil + hydrochlorothiazide,hypertension
canagliflozin hemihydrate,adults with type 2 diabetes mellitus
cefpodoxime proxetil + clavulanic acid,infections
cefotaxime,infections
cefazolin sodium,infections
carboxymethylcellulose sodium + glycerin,sterile eye drops
adapalene,acne vulgaris
cetirizine hydrochloride,asthma
ciclesonide (inhalation aerosol),asthma
chlorhexidine gluconate + isopropyl alcohol,pre-operative surgical hand disinfection
clobetasone butyrate,eczema and dermatitis
clindamycin + tretinoin,acne vulgaris
dexamethasone + tobramycin,corticosteroid
desoximetasone,corticosteroid
dulaglutide,adults with type 2 diabetes mellitus
doxycycline hydrochloride,infections
eplerenone,hypertension
empagliflozin,adults with type 2 diabetes mellitus
ertugliflozin,adults with type 2 diabetes mellitus
ethyl alcohol + hydrogen peroxide + glycerol,pre-operative surgical hand disinfection
etanercept,rheumatoid arthritis
fluocinolone acetonide,eczema and dermatitis
fluocinolone acetonide + neomycin sulfate,eczema and dermatitis
formoterol fumarate + glycopyrrolate + budesonide,asthma
follicle stimulating hormone [urofollitropin],hcg
gatifloxacin + dexamethasone,sterile eye drops
gatifloxacin (oral),infections
gatifloxacin (ophthalmic),bacterial conjunctivitis
glucose 19% + vamin 18 novum + intralipid 20%,parenteral nutrition
glucose 11% + vamin 18 novum + intralipid 20%,parenteral nutrition
golimumab,rheumatoid arthritis
hydrochlorothiazide,hypertension
human milk based amino acid,parenteral nutrition
human menopausal gonadotrophin,hcg
homatropine hydrobromide,sterile eye drops
ibuprofen,rheumatoid arthritis
indomethacin (oral),rheumatoid arthritis
indapamide + perindopril arginine,essential hypertension
ipratropium bromide (inhaler),asthma
insulin human [rdna] + isophane insulin human,treatment of all patients with type 1 diabetes
insulin human [long-acting],treatment of all patients with type 1 diabetes
insulin human [fast-acting],treatment of all patients with type 1 diabetes
isopropyl alcohol,pre-operative surgical hand disinfection
ketotifen fumarate (ophthalmic),allergic conjunctivitis
ketoconazole (shampoo),infections
ispaghula husk + ispaghula seed + tinnevelly senna pods,constipation
labetalol hydrochloride (injection),hypertension
levofloxacin (ophthalmic),bacterial conjunctivitis
losartan potassium + hydrochlorothiazide,hypertension
lornoxicam,rheumatoid arthritis
lorlatinib,monotherapy
menaquinone-7,rheumatoid arthritis
meloxicam,"osteoarthritis, rheumatoid arthritis"
methyldopa,hypertension
moxifloxacin hydrochloride + xanthan gum,bacterial conjunctivitis
moxifloxacin hydrochloride (ophthalmic),bacterial conjunctivitis
nebivolol + hydrochlorothiazide,essential hypertension
naphazoline + pheniramine,allergic conjunctivitis
pemirolast potassium,allergic conjunctivitis
pioglitazone,monotherapy
polyethylene glycol + propylene glycol,sterile eye drops
primaquine phosphate,malaria
recombinant follicle stimulating hormone (rfsh),hcg
ramipril,hypertension
ramelteon,insomnia
racepinephrine,asthma
salbutamol,asthma
sildenafil citrate,erectile dysfunction
semaglutide (tablet),adults with type 2 diabetes mellitus
salsalate,rheumatoid arthritis
sodium picosulfate,constipation
sulphadoxine + pyrimethamine,malaria
sulindac,rheumatoid arthritis
suvorexant,insomnia
theophylline,asthma
tetracycline hydrochloride (ophthalmic),bacterial conjunctivitis
torasemide,hypertension
tofacitinib,rheumatoid arthritis
tocilizumab,rheumatoid arthritis
trifluridine,sterile eye drops
tretinoin (topical),acne vulgaris
valsartan + hydrochlorothiazide,hypertension
undenatured type ii collagen + glucosamine sulfate + chondroitin sulfate,"osteoarthritis, rheumatoid arthritis"
vildagliptin,monotherapy
vilanterol trifenatate + fluticasone furoate,asthma
vilanterol + umeclidinium + fluticasone furoate,asthma
