generic_name,cases,rating,useful_count
valsartan,left ventricular dysfunction,9,27
levonorgestrel,emergency contraception,1,5
aripiprazole,bipolar disorde,10,32
topiramate,migraine prevention,9,19
liraglutide,obesity,9,20
lamotrigine,bipolar disorde,10,18
nilotinib,chronic myelogenous leukemia,10,11
etanercept,rheumatoid arthritis,10,4
tioconazole,vaginal yeast infection,1,7
tioconazole,vaginal yeast infection,1,2
fluconazole,vaginal yeast infection,8,9
clonazepam,panic disorde,9,30
dulaglutide,"diabetes, type 2",10,24
aripiprazole,schizophrenia,10,26
oxcarbazepine,trigeminal neuralgia,7,15
levonorgestrel,birth control,1,10
estradiol,atrophic vaginitis,9,128
alprazolam,tinnitus,10,87
aripiprazole,depression,4,33
spironolactone,acne,9,31
mirtazapine,anxiety,8,72
ropinirole,restless legs syndrome,10,14
levonorgestrel,birth control,10,1
cephalexin,skin or soft tissue infection,1,7
naltrexone,opiate dependence,6,14
olanzapine,bipolar disorde,9,9
levonorgestrel,birth control,2,2
desvenlafaxine,depression,10,101
levonorgestrel,birth control,3,4
dulaglutide,"diabetes, type 2",9,12
loratadine,allergic rhinitis,10,21
propofol,anesthesia,10,6
insulin degludec,"diabetes, type 1",1,12
levonorgestrel,birth control,10,1
liraglutide,"diabetes, type 2",5,18
lisinopril,high blood pressure,10,55
empagliflozin,"diabetes, type 2",10,47
alprazolam,anxiety,10,4
gemfibrozil,high cholesterol,9,18
tioconazole,vaginal yeast infection,10,25
methimazole,hyperthyroidism,4,3
lubiprostone,irritable bowel syndrome,1,9
temozolomide,anaplastic oligodendroglioma,10,19
nabumetone,rheumatoid arthritis,4,31
levonorgestrel,emergency contraception,9,11
meloxicam,osteoarthritis,10,26
gabapentin,hot flashes,8,97
clindamycin,bacterial infection,10,19
tioconazole,vaginal yeast infection,1,2
liraglutide,"diabetes, type 2",10,6
gabapentin,pain,6,22
liraglutide,"diabetes, type 2",10,13
desvenlafaxine,depression,8,93
carbamazepine,epilepsy,8,0
fluconazole,vaginal yeast infection,10,25
propofol,anesthesia,10,9
pimecrolimus,eczema,5,6
levonorgestrel,birth control,4,3
pramipexole,restless legs syndrome,9,28
nitrofurantoin,urinary tract infection,10,6
metronidazole,dental abscess,5,22
ziprasidone,bipolar disorde,1,10
celecoxib,pain,10,105
anastrozole,breast cance,6,40
mirtazapine,anxiety,10,58
alprazolam,anxiety,10,46
levonorgestrel,emergency contraception,10,19
lansoprazole,barrett's esophagus,10,20
liraglutide,obesity,7,21
ciprofloxacin,diverticulitis,8,78
terconazole,vaginal yeast infection,1,3
levonorgestrel,birth control,10,2
dulaglutide,"diabetes, type 2",8,13
mirtazapine,anxiety,10,51
levonorgestrel,birth control,7,1
topiramate,ibromyalgia,1,42
silodosin,benign prostatic hyperplasia,1,10
naltrexone,opiate dependence,10,88
lamotrigine,bipolar disorde,8,16
nitrofurantoin,urinary tract infection,7,2
nitrofurantoin,urinary tract infection,9,27
mirtazapine,insomnia,8,37
clonazepam,anxiety,10,261
aripiprazole,autism,10,141
clarithromycin,otitis media,10,16
levonorgestrel,emergency contraception,9,35
ramelteon,insomnia,1,5
clindamycin,surgical prophylaxis,1,4
infliximab,psoriatic arthritis,10,20
levonorgestrel,emergency contraception,10,9
levonorgestrel,emergency contraception,10,3
levonorgestrel,abnormal uterine bleeding,9,112
alprazolam,anxiety,10,134
diazepam,anxiety,9,68
bisacodyl,constipation,6,6
suvorexant,insomnia,1,24
clonazepam,panic disorde,7,24
liraglutide,obesity,10,14
gabapentin,anxiety,10,118
ibuprofen,pain,6,13
sumatriptan,migraine,1,9
celecoxib,pain,9,119
clonazepam,night terrors,5,9
levonorgestrel,abnormal uterine bleeding,8,6
carbamazepine,epilepsy,9,2
bisacodyl,constipation,5,4
metronidazole,bacterial infection,1,20
levonorgestrel,emergency contraception,10,0
metronidazole,clostridial infection,6,13
dutasteride,benign prostatic hyperplasia,6,42
propofol,anesthesia,10,13
levonorgestrel,emergency contraception,9,4
sitagliptin,"diabetes, type 2",10,43
desvenlafaxine,depression,3,13
retapamulin,impetig,8,7
levetiracetam,epilepsy,7,3
baclofen,alcohol withdrawal,10,58
lisinopril,high blood pressure,7,26
cefdinir,sinusitis,1,14
lamotrigine,bipolar disorde,10,45
olanzapine,schizoaffective disorde,8,18
levonorgestrel,birth control,9,2
clindamycin,not listed / othe,8,5
estradiol,atrophic vaginitis,3,8
zolmitriptan,migraine,8,0
levonorgestrel,birth control,5,4
clindamycin,bacterial infection,6,7
levonorgestrel,birth control,6,6
empagliflozin,"diabetes, type 2",9,12
clonazepam,anxiety,9,47
nortriptyline,irritable bowel syndrome,10,80
pregabalin,reflex sympathetic dystrophy syndrome,9,11
levonorgestrel,emergency contraception,10,17
sucralfate,gerd,9,0
alprazolam,panic disorde,10,137
meloxicam,ibromyalgia,7,29
bisacodyl,bowel preparation,6,8
lubiprostone,irritable bowel syndrome,5,38
valacyclovir,"herpes simplex, suppression",9,8
orlistat,obesity,1,18
liraglutide,obesity,10,19
lamotrigine,bipolar disorde,10,8
clonazepam,panic disorde,10,8
gabapentin,migraine,9,71
desvenlafaxine,depression,1,35
metronidazole,bacterial vaginitis,9,1
aripiprazole,bipolar disorde,7,14
levonorgestrel,emergency contraception,1,5
lorazepam,insomnia,8,74
clonazepam,insomnia,1,49
clarithromycin,bronchitis,10,18
hydrochlorothiazide,high blood pressure,6,36
lorazepam,anxiety,10,15
liraglutide,"diabetes, type 2",1,7
aripiprazole,depression,1,41
gabapentin,anxiety,8,23
flurbiprofen,period pain,8,2
levetiracetam,seizures,6,27
methotrexate,psoriasis,9,13
cephalexin,bacterial infection,5,22
carbamazepine,bipolar disorde,6,8
lorazepam,insomnia,8,79
metronidazole,bacterial vaginitis,10,22
meloxicam,inflammatory conditions,4,24
gabapentin,pain,10,133
febuxostat,gout,10,31
clindamycin,acne,10,4
eluxadoline,irritable bowel syndrome,1,14
ondansetron,nausea/vomiting,9,4
paliperidone,schizophrenia,5,14
lamotrigine,bipolar disorde,10,53
tofacitinib,rheumatoid arthritis,4,0
pregabalin,pain,10,55
cephalexin,skin or soft tissue infection,10,38
mirtazapine,insomnia,8,46
dapsone,acne,10,39
paliperidone,schizophrenia,2,5
metronidazole,bacterial infection,10,3
etodolac,osteoarthritis,1,15
metronidazole,bacterial infection,10,13
levetiracetam,seizures,5,32
lisinopril,high blood pressure,4,26
olanzapine,bipolar disorde,8,3
magnesium hydroxide,constipation,10,21
aripiprazole,schizophrenia,10,53
levonorgestrel,birth control,6,7
mirtazapine,anxiety,1,31
alprazolam,anxiety,10,44
desvenlafaxine,depression,8,81
dexlansoprazole,gerd,10,43
desvenlafaxine,depression,7,27
brexpiprazole,major depressive disorde,9,32
cephalexin,skin or soft tissue infection,9,114
desvenlafaxine,depression,1,13
tadalafil,erectile dysfunction,9,75
aripiprazole,bipolar disorde,1,11
gabapentin,anxiety,10,86
clonazepam,panic disorde,9,13
gabapentin,trigeminal neuralgia,10,36
topiramate,migraine prevention,9,42
lorazepam,anxiety,1,20
colchicine,"gout, acute",1,11
levonorgestrel,emergency contraception,10,1
omeprazole,erosive esophagitis,7,21
aripiprazole,depression,10,50
secukinumab,plaque psoriasis,10,30
nifedipine,raynaud's syndrome,8,7
clonazepam,anxiety,10,20
methocarbamol,muscle spasm,4,1
aripiprazole,depression,3,94
clarithromycin,sinusitis,1,5
vardenafil,erectile dysfunction,1,41
levonorgestrel,birth control,10,2
oxazepam,anxiety,10,32
gabapentin,restless legs syndrome,10,47
infliximab,rheumatoid arthritis,10,75
ramipril,high blood pressure,7,52
ezetimibe,high cholesterol,2,12
mefenamic acid,period pain,2,5
estradiol,atrophic vaginitis,9,117
metronidazole,bacterial vaginitis,9,2
desvenlafaxine,depression,9,9
omalizumab,"asthma, maintenance",10,36
levonorgestrel,emergency contraception,10,14
hydrochlorothiazide,high blood pressure,1,36
meloxicam,inflammatory conditions,8,94
clozapine,schizophrenia,8,67
pregabalin,ibromyalgia,8,29
ciprofloxacin,sinusitis,6,25
metronidazole,diverticulitis,5,28
mirabegron,overactive bladde,10,118
nitrofurantoin,urinary tract infection,1,13
valsartan,high blood pressure,6,40
tinidazole,bacterial vaginitis,8,16
alprazolam,panic disorde,6,25
ondansetron,nausea/vomiting,9,13
clonazepam,insomnia,1,33
pregabalin,pain,10,27
gabapentin,spondylolisthesis,4,6
levonorgestrel,birth control,10,11
valacyclovir,cold sores,10,8
temazepam,insomnia,10,22
levonorgestrel,birth control,8,3
levonorgestrel,birth control,1,1
armodafinil,obstructive sleep apnea/hypopnea syndrome,8,31
levonorgestrel,emergency contraception,10,3
levonorgestrel,birth control,1,4
gabapentin,pain,6,68
lansoprazole,stomach ulce,10,16
tadalafil,erectile dysfunction,10,29
fluconazole,vaginal yeast infection,1,12
desvenlafaxine,depression,3,13
denosumab,osteoporosis,2,100
terconazole,vaginal yeast infection,1,0
cefdinir,tonsillitis/pharyngitis,1,5
lamotrigine,bipolar disorde,10,42
acetazolamide,pseudotumor cerebri,7,5
zolmitriptan,migraine,9,0
gemfibrozil,high cholesterol,10,77
levonorgestrel,birth control,8,21
levonorgestrel,birth control,6,13
sitagliptin,"diabetes, type 2",10,77
aripiprazole,depression,10,160
anastrozole,"breast cancer, metastatic",10,33
desloratadine,allergic rhinitis,1,15
ziprasidone,bipolar disorde,8,15
lisinopril,high blood pressure,9,41
melatonin,insomnia,10,112
lorazepam,insomnia,10,102
lamotrigine,depression,2,4
anastrozole,breast cance,2,115
temazepam,insomnia,1,26
nifedipine,hypertensive emergency,9,6
desvenlafaxine,depression,5,22
lorazepam,not listed / othe,7,8
infliximab,behcet's disease,9,18
lubiprostone,"constipation, chronic",4,16
celecoxib,rheumatoid arthritis,9,4
simvastatin,high cholesterol,1,68
tadalafil,erectile dysfunction,10,52
aripiprazole,schizophrenia,10,33
cefdinir,bronchitis,1,4
clonazepam,anxiety,10,97
imiquimod,basal cell carcinoma,6,1
etanercept,ankylosing spondylitis,10,22
lisinopril,high blood pressure,10,102
armodafinil,narcolepsy,7,7
orlistat,obesity,3,59
pregabalin,diabetic peripheral neuropathy,10,90
pregabalin,generalized anxiety disorde,2,23
levonorgestrel,emergency contraception,10,11
lisinopril,high blood pressure,5,20
nitrofurantoin,urinary tract infection,1,37
apremilast,psoriatic arthritis,7,13
nitrofurantoin,bladder infection,4,10
mirtazapine,anxiety,10,14
levonorgestrel,emergency contraception,10,8
gabapentin,pain,4,27
gabapentin,ibromyalgia,8,166
armodafinil,chronic fatigue syndrome,8,39
methylprednisolone,"gout, acute",9,20
levonorgestrel,birth control,8,2
temazepam,insomnia,5,53
nitrofurantoin,urinary tract infection,8,12
desvenlafaxine,depression,10,26
cefdinir,sinusitis,1,13
letrozole,"breast cancer, adjuvant",5,53
valacyclovir,cold sores,7,18
sucralfate,gerd,2,12
clonazepam,panic disorde,10,51
armodafinil,chronic fatigue syndrome,10,66
lamotrigine,depression,7,11
levonorgestrel,emergency contraception,10,0
olanzapine,schizoaffective disorde,1,2
tadalafil,benign prostatic hyperplasia,9,124
dulaglutide,"diabetes, type 2",10,48
levonorgestrel,birth control,6,8
omalizumab,urticaria,1,6
desvenlafaxine,depression,5,6
adapalene,acne,10,4
lamotrigine,bipolar disorde,10,9
valacyclovir,cold sores,10,33
alprazolam,anxiety,8,34
methylprednisolone,immunosuppression,3,4
metronidazole,bacterial vaginitis,5,2
levonorgestrel,emergency contraception,10,13
oseltamivir,influenza,10,14
ziprasidone,schizophrenia,1,11
denosumab,osteoporosis,10,132
minoxidil,alopecia,7,40
gabapentin,neuropathic pain,10,12
adalimumab,plaque psoriasis,10,18
letrozole,breast cance,7,177
nilotinib,chronic myelogenous leukemia,10,3
loratadine,urticaria,10,26
dexlansoprazole,gerd,10,26
naltrexone,alcohol dependence,8,12
infliximab,psoriasis,10,0
mycophenolate mofetil,myasthenia gravis,10,14
lamotrigine,bipolar disorde,3,28
levonorgestrel,emergency contraception,10,17
bisacodyl,bowel preparation,1,10
adalimumab,psoriasis,2,15
dulaglutide,"diabetes, type 2",9,22
gabapentin,ibromyalgia,4,28
ciprofloxacin,bacterial infection,1,8
diazepam,anxiety,8,71
dexamethasone,asthma,8,15
dexlansoprazole,gerd,1,20
fluorouracil,keratosis,10,10
dapsone,acne,1,4
gabapentin,insomnia,8,101
pramipexole,restless legs syndrome,10,12
levonorgestrel,birth control,10,2
levonorgestrel,abnormal uterine bleeding,9,37
fluorouracil,warts,1,12
racepinephrine,"asthma, acute",10,4
hydrochlorothiazide,high blood pressure,1,37
magnesium hydroxide,acne,10,4
adalimumab,rheumatoid arthritis,1,22
loratadine,allergic rhinitis,3,17
carbamazepine,trigeminal neuralgia,10,14
lubiprostone,"constipation, chronic",10,24
lamotrigine,depression,9,76
levetiracetam,seizures,10,11
tranexamic acid,menorrhagia,9,77
esomeprazole,gerd,10,16
desvenlafaxine,anxiety,2,9
anastrozole,breast cance,10,24
hydrocortisone,skin rash,10,4
tioconazole,vaginal yeast infection,1,4
carisoprodol,muscle spasm,9,58
topiramate,obesity,9,314
paliperidone,schizophrenia,10,44
apremilast,plaque psoriasis,1,9
lorazepam,anxiety,5,10
alprazolam,anxiety,10,79
valacyclovir,cold sores,10,18
meloxicam,rheumatoid arthritis,8,83
tocilizumab,rheumatoid arthritis,10,21
ciprofloxacin,urinary tract infection,10,51
methylprednisolone,inflammatory conditions,9,78
nortriptyline,pain,9,66
cefdinir,otitis media,8,16
lacosamide,seizures,6,67
tofacitinib,rheumatoid arthritis,9,19
alprazolam,anxiety,8,110
omalizumab,nan,10,18
gabapentin,pain,8,52
dulaglutide,"diabetes, type 2",10,36
tioconazole,vaginal yeast infection,8,7
liraglutide,obesity,10,38
gabapentin,peripheral neuropathy,10,90
lisinopril,high blood pressure,1,37
rivaroxaban,deep vein thrombosis,9,11
levonorgestrel,emergency contraception,10,5
ketamine,anesthesia,10,18
flurazepam,insomnia,8,8
sumatriptan,migraine,10,6
secukinumab,plaque psoriasis,4,0
levonorgestrel,birth control,1,8
imiquimod,basal cell carcinoma,10,2
avanafil,erectile dysfunction,10,52
desvenlafaxine,ibromyalgia,10,25
zonisamide,migraine prevention,7,18
levonorgestrel,birth control,1,6
midazolam,light sedation,9,8
gabapentin,ibromyalgia,2,5
ciprofloxacin,urinary tract infection,10,21
etanercept,ankylosing spondylitis,9,5
estradiol,postmenopausal symptoms,2,25
oseltamivir,influenza,9,3
levonorgestrel,emergency contraception,10,46
levonorgestrel,birth control,3,6
empagliflozin,"diabetes, type 2",3,25
