group,indication,score,contraindications_description,generic_name,contraindication_result
medication,toad,0.9997948,adalimumab should not be administered to patients with known hypersensitivity toadalimumab or any of its components.,adalimumab,hypersensitivity toadalimumab or any of its components
medication,acyclovircream,0.9951826,"acyclovircream is contraindicated in patients with known hypersensitivity to acyclovir, valacyclovir, or any component of the formulation.",acyclovir (topical),hypersensitivity
medication,aciclov,0.72187907,aciclovir is contraindicated in patients known to be hypersensitive to aciclovir.,acyclovir (oral),hypersensitive to aciclovir
medication,acyclovir,0.9977528,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir (ophthalmic),acyclovir or valacyclovir
medication,acyclovir,0.99675465,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir (ophthalmic),acyclovir or valacyclovir
medication,valacyclovir,0.9955128,acyclovir is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir,acyclovir (ophthalmic),acyclovir or valacyclovir
medication,acyclovir,0.91912955,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.,acyclovir (injection),patients known to be hypersensitive
medication,acyclov,0.7965152,acyclovir iv injection is contraindicated in patients known to be hypersensitive to acyclovir or valacyclovir.,acyclovir (injection),patients known to be hypersensitive
medication,strong,0.88223565,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy.",activated charcoal,strong acids and alkalis) as this would complicate diagnostic measures
medication,beta 2,0.78207266,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
medication,formoterol fumarate,0.9966464,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
medication,corticosteroid,0.9960429,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
medication,formoterol fumarate,0.99763346,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product.",aclidinium bromide + formoterol fumarate,without an inhaled corticosteroid
